odawara	14
odwr	14
ogak	21
ogaki	21
ogki	21
ogwr	04
ohgaki	21
ohita	44
oit	44
oita	44
okayama	33
okayamaa	33
okazaki	23
okinawa	47
okinawaa	47
okn	47
oknw	47
oky	33
okym	33
okzk	23
ome	13
omiya	11
omut	40
omuta	40
onomichi	34
oots	25
ootsu	25
os	27
osa	27
osak	27
osaka	27
osakakita	27
osk	27
oska	27
ota	10
otaru	01
otawara	09
otru	01
otsu	25
otwr	09
oume	13
oyam	09
oyama	09
rygs	08
ryugasaki	08
s-kawasaki	14
s-tokyo	13
sag	41
saga	41
sagamihara	14
saiki	44
saitama	11
sakado	11
sakai	27
sakaide	37
sakata	06
sand	28
sanda	28
sanjyo	15
sano	09
sapporo	01
sapporokita	01
sapporonishi	01
sasebo	42
sawara	12
sbkw	10
sendai	04
setaka	40
seto	23
sgmi	14
shiboguchi	
shiga	25
shiki	11
shimane	32
shimizu	22
shimodate	08
shimonoseki	35
shinjuku	13
shinkurashiki	33
shirakawa	07
shizuoka	22
shra	12
sig	25
siga	25
sitm	11
sizuoka	22
skai	27
skta	06
smdt	08
smiz	22
smn	32
smzu	22
snda	28
sndi	04
soka	11
souka	11
sppr	01
spro	01
srga	18
ssbo	42
stm	11
sumoto	28
suwa	20
szo	22
szok	22
t-osaka	27
t-tokyo	13
tachikawa	13
tajimi	21
tajm	21
takada	29
takamatsu	37
takaoka	16
takasaki	10
takatsuki	27
takatuki	27
tama	13
tanabe	30
tatebayashi	10
tcg	09
tocg	09
tcgi	09
tckw	13
tcur	08
te-fukuoka	40
tjmi	21
tk	13
tkba	08
tkct	23
tkgw	01
tkmt	37
tkok	16
tkrz	11
tks	36
tksk	10
tksm	36
tktk	27
tky	13
tkym	35
tkyo	13
tmkm	01
tndb	27
tochigi	09
togane	12
togn	12
tokai	23
toki	23
tokorozawa	11
tokushima	36
toky	13
tokyo	13
tond	27
tondabayashi	27
totr	31
tottori	31
tottoria	31
toyama	16
toyamaa	16
toym	16
toyohashi	23
toyota	23
toyt	23
trok	06
tsma	23
tsu	24
tsu-	24
tsuchiura	08
tsukuba	08
tsushima	23
tsux	24
ttby	10
ttr	31
ttri	31
ttse	01
tyhs	23
tym	16
tyma	16
tyta	23
ube	35
ube-	35
ubex	35
ueda	20
ueno	24
uji	26
uji-	26
ujix	26
uraw	11
urawa	11
urayasu	12
urw	11
urwa	11
usuki	44
utnm	09
utsunomiya	09
utunomiya	09
wakayama	30
wky	30
wkym	30
yamagata	06
yamagataa	06
yamaguchi	35
yamaguchia	35
yamanashi	19
yamasaki	28
yamatokashihara	29
yamatotakada	29
yao	27
yao-	27
yaox	27
yatsushiro	43
ygc	35
ygt	06
ykh	14
ykhm	14
ykic	24
yksk	14
ymg	06
ymgc	35
ymgt	06
ymn	19
ymtk	29
yngo	31
ynzw	06
yokkaichi	24
yokohama	14
yokohamako	14
yokosuka	14
yonago	31
yonezawa	06
yong	31
yono	11
ytsr	43
yuib	12
kita-kyushu	40
narashino	12
isehara	14
hikone	25
sagami	14
yamato	14
yamato-takada	29
ohtsu	25
miex	24
aich	23
hygo	28
mygi	04
iwte	03
gnma	10
ehme	38
kgwa	37
ymns	19
iskw	17
hachiohji	13
hkata	40
kasiw	12
kkysh	40
chgsk	14
nrima	13
yoksk	14
maebs	10
itabs	13
stama	11
fkoka	40
kkbnj	13
edgwa	13
sappr	01
fjswa	14
sagam	14
ntkyo	13
shmki	35
ksrzu	12
yamat	14
shga	25
kuch	39
smne	32
ooit	44
ohta	13
ktsk	13
kyma	09
nkno	13
aksi	28
rccx	08
oyma	09
oumi	25
oomt	40
tugn	12
kshr	29
hrkt	27
nnao	17
kmts	12
mtse	32
kmts	17
fjys	19
imabari	38
higashi-hiroshima	34
furukawa	08
nagahama	25
ohtawara	09
tokuyama	35
tomakomai	01
komatsu	17
iwakuni	35
shibukawa	10
ichinoseki	03
ohme	13
takikawa	01
nishiwaki	28
o-tokyo	13
hitachioota	08
nar	29
szk	22
a001	01
a002	02
a003	03
a004	04
a005	05
a006	06
a007	07
a008	08
a009	09
a010	10
a011	11
a012	12
a013	13
a014	14
a015	15
a016	16
a017	17
a018	18
a019	19
a020	20
a021	21
a022	22
a023	23
a024	24
a025	25
a026	26
a027	27
a028	28
a029	29
a030	30
a031	31
a032	32
a033	33
a034	34
a035	35
a036	36
a037	37
a038	38
a039	39
a040	40
a041	41
a042	42
a043	43
a044	44
a045	45
a046	46
a047	47
tkbn	13
toyizu	22
kube	28
totigi	09
kagw	37
simn	32
ntky	13
